Time(s),Crosshead(mm),Load(kN),Extensometer(mm/mm),Stress(MPa)
1.2,0.0015,0.273,0.00001,21.504
1.3,0.0030,0.291,0.00001,22.915
1.4,0.0046,0.311,0.00002,24.470
1.5,0.0062,0.330,0.00003,25.966
1.6,0.0078,0.349,0.00004,27.461
1.7,0.0095,0.370,0.00005,29.141
1.8,0.0110,0.387,0.00005,30.491
1.9,0.0127,0.405,0.00006,31.917
2.0,0.0143,0.423,0.00007,33.313
2.1,0.0159,0.442,0.00007,34.829
2.2,0.0175,0.460,0.00008,36.183
2.3,0.0191,0.476,0.00008,37.497
2.4,0.0207,0.493,0.00009,38.844
2.5,0.0224,0.512,0.00010,40.326
2.6,0.0240,0.528,0.00010,41.531
2.7,0.0256,0.545,0.00011,42.888
2.8,0.0274,0.562,0.00012,44.249
2.9,0.0291,0.580,0.00012,45.648
3.0,0.0307,0.596,0.00013,46.899
3.1,0.0324,0.610,0.00014,48.032
3.2,0.0342,0.628,0.00014,49.437
3.3,0.0359,0.644,0.00015,50.686
3.4,0.0375,0.658,0.00016,51.839
3.5,0.0392,0.674,0.00016,53.024
3.6,0.0410,0.690,0.00017,54.315
3.7,0.0426,0.703,0.00017,55.368
3.8,0.0442,0.717,0.00017,56.424
3.9,0.0459,0.732,0.00018,57.609
4.0,0.0477,0.747,0.00019,58.827
4.1,0.0492,0.760,0.00020,59.812
4.2,0.0509,0.773,0.00020,60.842
4.3,0.0527,0.788,0.00021,62.003
4.4,0.0543,0.801,0.00021,63.096
4.5,0.0560,0.814,0.00022,64.064
4.6,0.0576,0.826,0.00022,65.023
4.7,0.0594,0.840,0.00022,66.131
4.8,0.0611,0.853,0.00024,67.142
4.9,0.0627,0.865,0.00024,68.127
5.0,0.0643,0.878,0.00024,69.086
5.1,0.0661,0.891,0.00025,70.171
5.2,0.0678,0.903,0.00025,71.123
5.3,0.0694,0.915,0.00025,72.030
5.4,0.0710,0.927,0.00026,72.987
5.5,0.0728,0.940,0.00026,74.030
5.6,0.0744,0.951,0.00027,74.874
5.7,0.0759,0.962,0.00027,75.704
5.8,0.0776,0.973,0.00028,76.564
5.9,0.0794,0.985,0.00028,77.578
6.0,0.0810,0.996,0.00028,78.400
6.1,0.0826,1.006,0.00029,79.207
6.2,0.0843,1.018,0.00029,80.144
6.3,0.0860,1.029,0.00030,81.040
6.4,0.0876,1.040,0.00030,81.868
6.5,0.0893,1.050,0.00030,82.644
6.6,0.0911,1.062,0.00031,83.595
6.7,0.0927,1.073,0.00032,84.442
6.8,0.0943,1.083,0.00032,85.240
6.9,0.0960,1.093,0.00032,86.084
7.0,0.0978,1.105,0.00032,87.011
7.1,0.0994,1.115,0.00033,87.779
7.2,0.1011,1.125,0.00034,88.570
7.3,0.1027,1.135,0.00034,89.362
7.4,0.1044,1.146,0.00035,90.233
7.5,0.1060,1.156,0.00035,91.039
7.6,0.1076,1.166,0.00035,91.783
7.7,0.1093,1.176,0.00036,92.569
7.8,0.1111,1.187,0.00036,93.449
7.9,0.1127,1.196,0.00036,94.187
8.0,0.1143,1.206,0.00037,94.940
8.1,0.1159,1.216,0.00037,95.735
8.2,0.1177,1.227,0.00037,96.564
8.3,0.1193,1.234,0.00037,97.161
8.4,0.1209,1.243,0.00038,97.863
8.5,0.1227,1.253,0.00039,98.681
8.6,0.1243,1.262,0.00039,99.388
8.7,0.1259,1.271,0.00039,100.024
8.8,0.1275,1.280,0.00040,100.752
8.9,0.1293,1.291,0.00040,101.599
9.0,0.1309,1.300,0.00040,102.312
9.1,0.1326,1.308,0.00040,102.958
9.2,0.1343,1.317,0.00041,103.702
9.3,0.1360,1.326,0.00041,104.419
9.4,0.1376,1.334,0.00041,105.020
9.5,0.1392,1.344,0.00042,105.796
9.6,0.1409,1.353,0.00042,106.487
9.7,0.1427,1.362,0.00043,107.226
9.8,0.1443,1.371,0.00043,107.909
9.9,0.1459,1.379,0.00043,108.580
10.0,0.1476,1.389,0.00044,109.315
10.1,0.1494,1.398,0.00044,110.094
10.2,0.1510,1.407,0.00045,110.761
10.3,0.1526,1.416,0.00045,111.495
10.4,0.1544,1.426,0.00045,112.273
10.5,0.1560,1.435,0.00046,112.971
10.6,0.1576,1.444,0.00046,113.660
10.7,0.1594,1.453,0.00046,114.389
10.8,0.1611,1.463,0.00047,115.168
10.9,0.1627,1.470,0.00047,115.739
11.0,0.1643,1.479,0.00047,116.471
11.1,0.1661,1.489,0.00048,117.218
11.2,0.1678,1.499,0.00048,117.973
11.3,0.1694,1.507,0.00048,118.619
11.4,0.1710,1.515,0.00049,119.294
11.5,0.1727,1.525,0.00049,120.037
11.6,0.1744,1.534,0.00050,120.780
11.7,0.1760,1.543,0.00050,121.443
11.8,0.1776,1.551,0.00050,122.137
11.9,0.1794,1.562,0.00051,122.937
12.0,0.1811,1.570,0.00051,123.611
12.1,0.1827,1.578,0.00051,124.258
12.2,0.1843,1.587,0.00052,124.943
12.3,0.1861,1.598,0.00053,125.770
12.4,0.1876,1.606,0.00053,126.424
12.5,0.1892,1.614,0.00053,127.069
12.6,0.1909,1.624,0.00054,127.835
12.7,0.1927,1.634,0.00054,128.644
12.8,0.1943,1.642,0.00055,129.240
12.9,0.1959,1.650,0.00055,129.919
13.0,0.1975,1.660,0.00055,130.670
13.1,0.1992,1.670,0.00056,131.458
13.2,0.2009,1.677,0.00056,132.061
13.3,0.2025,1.687,0.00056,132.817
13.4,0.2043,1.697,0.00057,133.618
13.5,0.2059,1.706,0.00058,134.321
13.6,0.2075,1.715,0.00057,135.016
13.7,0.2092,1.723,0.00058,135.680
13.8,0.2110,1.735,0.00058,136.550
13.9,0.2126,1.743,0.00059,137.222
14.0,0.2142,1.752,0.00060,137.892
14.1,0.2158,1.760,0.00060,138.571
14.2,0.2175,1.771,0.00060,139.417
14.3,0.2192,1.779,0.00060,140.060
14.4,0.2208,1.788,0.00061,140.780
14.5,0.2224,1.797,0.00061,141.446
14.6,0.2242,1.807,0.00061,142.224
14.7,0.2259,1.815,0.00062,142.926
14.8,0.2275,1.825,0.00062,143.654
14.9,0.2292,1.834,0.00062,144.409
15.0,0.2309,1.845,0.00063,145.225
15.1,0.2326,1.853,0.00064,145.896
15.2,0.2342,1.862,0.00064,146.560
15.3,0.2359,1.872,0.00064,147.367
15.4,0.2376,1.881,0.00065,148.101
15.5,0.2392,1.890,0.00065,148.778
15.6,0.2408,1.898,0.00065,149.441
15.7,0.2426,1.908,0.00066,150.241
15.8,0.2443,1.917,0.00066,150.901
15.9,0.2459,1.925,0.00066,151.567
16.0,0.2475,1.935,0.00067,152.315
16.1,0.2492,1.944,0.00067,153.058
16.2,0.2508,1.954,0.00068,153.804
16.3,0.2525,1.963,0.00068,154.504
16.4,0.2542,1.971,0.00069,155.170
16.5,0.2559,1.981,0.00069,155.938
16.6,0.2575,1.989,0.00069,156.584
16.7,0.2591,1.998,0.00069,157.279
16.8,0.2608,2.007,0.00070,158.024
16.9,0.2625,2.017,0.00071,158.788
17.0,0.2641,2.025,0.00071,159.431
17.1,0.2658,2.033,0.00072,160.077
17.2,0.2675,2.043,0.00072,160.853
17.3,0.2691,2.053,0.00072,161.596
17.4,0.2708,2.060,0.00073,162.193
17.5,0.2724,2.069,0.00073,162.890
17.6,0.2742,2.079,0.00073,163.675
17.7,0.2758,2.088,0.00074,164.346
17.8,0.2774,2.096,0.00075,165.001
17.9,0.2791,2.104,0.00075,165.663
18.0,0.2808,2.114,0.00075,166.451
18.1,0.2824,2.121,0.00075,166.993
18.2,0.2840,2.130,0.00076,167.690
18.3,0.2857,2.139,0.00076,168.414
18.4,0.2875,2.149,0.00077,169.168
18.5,0.2891,2.157,0.00077,169.800
18.6,0.2907,2.165,0.00078,170.423
18.7,0.2925,2.175,0.00078,171.208
18.8,0.2943,2.184,0.00078,171.940
18.9,0.2959,2.192,0.00079,172.602
19.0,0.2975,2.200,0.00079,173.233
19.1,0.2993,2.210,0.00080,173.977
19.2,0.3008,2.219,0.00080,174.684
19.3,0.3024,2.226,0.00080,175.275
19.4,0.3042,2.235,0.00080,175.927
19.5,0.3059,2.245,0.00081,176.726
19.6,0.3075,2.252,0.00081,177.291
19.7,0.3091,2.259,0.00082,177.879
19.8,0.3107,2.269,0.00083,178.655
19.9,0.3125,2.279,0.00084,179.433
20.0,0.3140,2.287,0.00083,180.034
20.1,0.3157,2.295,0.00083,180.678
20.2,0.3174,2.304,0.00084,181.380
20.3,0.3191,2.314,0.00085,182.139
20.4,0.3207,2.321,0.00085,182.753
20.5,0.3223,2.330,0.00085,183.436
20.6,0.3240,2.339,0.00085,184.172
20.7,0.3257,2.349,0.00086,184.908
20.8,0.3274,2.357,0.00087,185.528
20.9,0.3290,2.366,0.00087,186.276
21.0,0.3308,2.376,0.00088,187.075
21.1,0.3324,2.384,0.00087,187.717
21.2,0.3341,2.393,0.00088,188.362
21.3,0.3357,2.402,0.00088,189.074
21.4,0.3375,2.412,0.00089,189.864
21.5,0.3391,2.420,0.00089,190.519
21.6,0.3407,2.428,0.00089,191.139
21.7,0.3424,2.437,0.00090,191.844
21.8,0.3442,2.447,0.00091,192.616
21.9,0.3458,2.454,0.00091,193.198
22.0,0.3475,2.462,0.00092,193.861
22.1,0.3492,2.472,0.00092,194.602
22.2,0.3508,2.481,0.00092,195.312
22.3,0.3525,2.489,0.00093,195.941
22.4,0.3541,2.497,0.00093,196.574
22.5,0.3559,2.507,0.00094,197.371
22.6,0.3575,2.515,0.00094,198.005
22.7,0.3591,2.524,0.00094,198.691
22.8,0.3607,2.532,0.00095,199.338
22.9,0.3625,2.543,0.00096,200.175
23.0,0.3642,2.550,0.00096,200.750
23.1,0.3658,2.558,0.00096,201.380
23.2,0.3673,2.566,0.00096,202.015
23.3,0.3690,2.575,0.00097,202.756
23.4,0.3706,2.583,0.00097,203.358
23.5,0.3723,2.592,0.00098,204.061
23.6,0.3739,2.600,0.00098,204.686
23.7,0.3756,2.610,0.00099,205.460
23.8,0.3772,2.618,0.00099,206.130
23.9,0.3788,2.627,0.00100,206.847
24.0,0.3805,2.636,0.00100,207.486
24.1,0.3823,2.645,0.00101,208.236
24.2,0.3839,2.653,0.00101,208.885
24.3,0.3855,2.662,0.00101,209.536
24.4,0.3872,2.671,0.00102,210.263
24.5,0.3890,2.681,0.00103,211.036
24.6,0.3906,2.689,0.00102,211.671
24.7,0.3922,2.697,0.00103,212.328
24.8,0.3939,2.707,0.00104,213.120
24.9,0.3956,2.716,0.00104,213.821
25.0,0.3972,2.724,0.00105,214.461
25.1,0.3990,2.733,0.00105,215.147
25.2,0.4007,2.743,0.00106,215.952
25.3,0.4023,2.751,0.00106,216.549
25.4,0.4040,2.760,0.00107,217.257
25.5,0.4056,2.769,0.00107,218.020
25.6,0.4075,2.779,0.00107,218.782
25.7,0.4091,2.787,0.00107,219.393
25.8,0.4107,2.795,0.00108,220.043
25.9,0.4124,2.805,0.00109,220.796
26.0,0.4141,2.814,0.00109,221.566
26.1,0.4156,2.822,0.00110,222.150
26.2,0.4173,2.830,0.00110,222.823
26.3,0.4191,2.840,0.00111,223.601
26.4,0.4207,2.849,0.00111,224.317
26.5,0.4223,2.857,0.00112,224.959
26.6,0.4240,2.866,0.00112,225.611
26.7,0.4258,2.877,0.00113,226.476
26.8,0.4273,2.885,0.00113,227.092
26.9,0.4289,2.893,0.00113,227.730
27.0,0.4307,2.902,0.00114,228.485
27.1,0.4323,2.912,0.00114,229.237
27.2,0.4339,2.920,0.00115,229.842
27.3,0.4355,2.928,0.00115,230.481
27.4,0.4372,2.937,0.00116,231.255
27.5,0.4389,2.947,0.00116,232.020
27.6,0.4405,2.955,0.00116,232.599
27.7,0.4421,2.963,0.00117,233.278
27.8,0.4439,2.972,0.00118,234.009
27.9,0.4455,2.982,0.00118,234.726
28.0,0.4471,2.990,0.00118,235.391
28.1,0.4487,2.999,0.00119,236.059
28.2,0.4505,3.009,0.00120,236.890
28.3,0.4521,3.018,0.00120,237.608
28.4,0.4537,3.027,0.00120,238.268
28.5,0.4554,3.035,0.00121,238.971
28.6,0.4572,3.046,0.00121,239.822
28.7,0.4587,3.054,0.00122,240.455
28.8,0.4604,3.062,0.00122,241.032
28.9,0.4621,3.071,0.00123,241.743
29.0,0.4639,3.081,0.00123,242.584
29.1,0.4655,3.089,0.00124,243.214
29.2,0.4671,3.098,0.00124,243.882
29.3,0.4688,3.108,0.00125,244.667
29.4,0.4706,3.117,0.00125,245.413
29.5,0.4722,3.126,0.00126,246.059
29.6,0.4738,3.134,0.00126,246.738
29.7,0.4756,3.145,0.00127,247.559
29.8,0.4772,3.154,0.00128,248.284
29.9,0.4788,3.162,0.00127,248.948
30.0,0.4804,3.170,0.00128,249.576
30.1,0.4822,3.181,0.00129,250.429
30.2,0.4839,3.189,0.00129,251.052
30.3,0.4855,3.198,0.00130,251.730
30.4,0.4871,3.206,0.00130,252.376
30.5,0.4888,3.217,0.00130,253.254
30.6,0.4904,3.225,0.00131,253.882
30.7,0.4921,3.234,0.00132,254.608
30.8,0.4939,3.244,0.00132,255.367
30.9,0.4956,3.252,0.00133,256.021
